gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
Male,33.0,Divorced,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Female,56.0,Divorced,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Female,65.0,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,30.0,Single,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,40.0,Married,No Qualification,British,White,"5,200 to 10,400",The North,Yes,10.0,1.0,Both/Mainly Hand-Rolled
Female,26.0,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,Yes,20.0,20.0,Packets
Male,74.0,Single,No Qualification,Refused,Refused,Refused,The North,No,,,
Female,44.0,Married,Degree,Welsh,White,"28,600 to 36,400",The North,No,,,
Female,80.0,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,67.0,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,59.0,Married,No Qualification,British,White,,The North,No,,,
Female,28.0,Single,Higher/Sub Degree,English,White,"5,200 to 10,400",The North,Yes,15.0,10.0,Packets
Female,31.0,Married,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,,,
Male,25.0,Single,GCSE/CSE,English,White,"15,600 to 20,800",The North,No,,,
Female,64.0,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Male,68.0,Married,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Female,61.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,50.0,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,43.0,Married,Higher/Sub Degree,British,Chinese,"Above 36,400",The North,No,,,
Female,19.0,Single,No Qualification,Other,Asian,"Under 2,600",The North,No,,,
Female,21.0,Married,GCSE/O Level,Other,Asian,"Under 2,600",The North,No,,,
Male,51.0,Divorced,Degree,English,White,"2,600 to 5,200",The North,No,,,
Male,65.0,Single,Other/Sub Degree,British,White,"5,200 to 10,400",The North,No,,,
Female,,Separated,No Qualification,Other,Asian,"2,600 to 5,200",The North,No,,,
Female,38.0,Single,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Female,78.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,74.0,Widowed,No Qualification,Other,Asian,"2,600 to 5,200",The North,No,,,
Female,22.0,Single,Degree,Other,Asian,"2,600 to 5,200",The North,No,,,
Male,66.0,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,48.0,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,59.0,Married,No Qualification,English,White,,The North,No,,,
Female,69.0,Widowed,No Qualification,English,White,Unknown,The North,No,,,
Female,76.0,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,Yes,20.0,20.0,Packets
Female,21.0,Single,ONC/BTEC,British,White,"2,600 to 5,200",The North,No,,,
Female,47.0,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Female,77.0,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,25.0,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,10.0,10.0,Packets
Female,71.0,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,24.0,Single,GCSE/O Level,British,White,"2,600 to 5,200",The North,Yes,10.0,10.0,Packets
Female,90.0,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,41.0,Divorced,GCSE/O Level,British,White,"5,200 to 10,400",The North,Yes,10.0,10.0,Packets
Female,69.0,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,35.0,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
Female,32.0,Single,No Qualification,English,White,"5,200 to 10,400",The North,Yes,12.0,7.0,Packets
Female,48.0,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
Female,34.0,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,28.0,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,10.0,4.0,Packets
Male,,Married,No Qualification,English,White,Unknown,The North,No,,,
Male,56.0,Married,GCSE/CSE,English,White,"20,800 to 28,600",The North,No,,,
Male,51.0,Married,Other/Sub Degree,British,White,"10,400 to 15,600",The North,No,,,
Female,,Married,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Male,44.0,Married,Degree,English,White,"28,600 to 36,400",The North,No,,,
Female,45.0,Married,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,No,,,
Male,55.0,Married,No Qualification,British,White,"10,400 to 15,600",The North,Yes,20.0,20.0,Packets
Female,55.0,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,55.0,Married,A Levels,Scottish,White,Refused,The North,No,,,
Female,57.0,Married,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,,,
Male,76.0,Married,A Levels,Scottish,White,"5,200 to 10,400",The North,No,,,
Female,59.0,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,46.0,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,56.0,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
Male,67.0,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,73.0,Single,Other/Sub Degree,English,White,"10,400 to 15,600",The North,No,,,
Female,82.0,Widowed,No Qualification,English,White,Refused,The North,No,,,
Male,75.0,Married,ONC/BTEC,English,White,Refused,The North,No,,,
Female,41.0,Married,Other/Sub Degree,English,White,"5,200 to 10,400",The North,No,,,
Female,40.0,Married,A Levels,British,White,"15,600 to 20,800",The North,No,,,
Male,37.0,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Male,53.0,Married,ONC/BTEC,English,White,"20,800 to 28,600",The North,No,,,
Female,35.0,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,39.0,Married,GCSE/O Level,English,White,"20,800 to 28,600",The North,No,,,
Female,31.0,Separated,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Male,38.0,Married,ONC/BTEC,British,White,"Above 36,400",The North,No,,,
Female,34.0,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,Yes,25.0,10.0,Packets
Female,36.0,Married,A Levels,English,White,"10,400 to 15,600",The North,Yes,20.0,20.0,Packets
Male,31.0,Single,Degree,English,White,"20,800 to 28,600",The North,No,,,
Female,31.0,Single,GCSE/CSE,British,White,"Under 2,600",The North,Yes,10.0,10.0,Hand-Rolled
Male,35.0,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
Male,42.0,Married,No Qualification,British,White,"20,800 to 28,600",The North,No,,,
Male,30.0,Single,GCSE/CSE,English,White,"15,600 to 20,800",The North,No,,,
Female,39.0,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Female,47.0,Married,GCSE/O Level,Scottish,White,"10,400 to 15,600",The North,No,,,
Male,38.0,Married,Higher/Sub Degree,English,White,"20,800 to 28,600",The North,No,,,
Female,29.0,Divorced,A Levels,English,White,"15,600 to 20,800",The North,No,,,
Male,75.0,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,47.0,Married,Higher/Sub Degree,British,White,Refused,The North,No,,,
Male,55.0,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
Male,42.0,Married,Higher/Sub Degree,Other,White,"Above 36,400",The North,No,,,
Female,39.0,Married,Degree,English,White,"Above 36,400",The North,No,,,
Male,64.0,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,84.0,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,49.0,Married,Higher/Sub Degree,British,White,"5,200 to 10,400",The North,No,,,
Male,24.0,Single,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,No,,,
Male,38.0,Single,GCSE/O Level,Scottish,White,"10,400 to 15,600",The North,Yes,30.0,30.0,Hand-Rolled
Female,45.0,Married,Degree,Other,White,,The North,No,,,
Female,47.0,Divorced,GCSE/O Level,British,White,,The North,No,,,
Male,37.0,Divorced,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,No,,,
Male,59.0,Married,Higher/Sub Degree,English,White,"5,200 to 10,400",The North,No,,,
Male,25.0,Single,Degree,Other,White,"28,600 to 36,400",The North,No,,,
Male,56.0,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
Female,71.0,Divorced,GCSE/CSE,British,White,"2,600 to 5,200",The North,No,,,
Male,81.0,Widowed,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,No,,,
Male,55.0,Married,A Levels,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Male,42.0,Married,GCSE/CSE,English,White,"Above 36,400",Midlands & East Anglia,No,,,
Male,73.0,Married,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,43.0,Married,A Levels,English,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
Female,57.0,Divorced,No Qualification,English,White,"10,400 to 15,600",Midlands & East Anglia,Yes,15.0,10.0,Packets
Female,47.0,Married,Degree,English,White,"Above 36,400",Midlands & East Anglia,No,,,
Female,29.0,Married,No Qualification,English,White,,Midlands & East Anglia,Yes,15.0,15.0,Packets
Female,30.0,Widowed,GCSE/CSE,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,,Married,No Qualification,English,White,"15,600 to 20,800",Midlands & East Anglia,Yes,30.0,25.0,Packets
Female,58.0,Married,Degree,English,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
Male,70.0,Widowed,No Qualification,British,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Male,18.0,Single,A Levels,British,White,Refused,Midlands & East Anglia,No,,,
Female,45.0,Single,No Qualification,British,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,37.0,Single,GCSE/O Level,English,White,"15,600 to 20,800",Midlands & East Anglia,Yes,15.0,10.0,Both/Mainly Packets
Female,44.0,Separated,GCSE/O Level,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,46.0,Married,Degree,British,White,"Above 36,400",Midlands & East Anglia,No,,,
Male,29.0,Married,Degree,British,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Male,50.0,Married,GCSE/O Level,English,White,"Above 36,400",Midlands & East Anglia,No,,,
Female,51.0,Married,No Qualification,British,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,80.0,Widowed,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,85.0,Married,A Levels,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,,Married,No Qualification,British,White,"Under 2,600",Midlands & East Anglia,No,,,
Male,52.0,Married,No Qualification,British,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Female,58.0,Married,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,49.0,Married,Degree,British,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,39.0,Single,Degree,British,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
Female,53.0,Married,Degree,British,White,"5,200 to 10,400",Midlands & East Anglia,Yes,15.0,15.0,Both/Mainly Hand-Rolled
Female,71.0,Married,GCSE/O Level,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,29.0,Single,Higher/Sub Degree,British,White,,Midlands & East Anglia,No,,,
Female,66.0,Married,No Qualification,British,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Male,75.0,Married,Other/Sub Degree,English,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Female,45.0,Divorced,Degree,British,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
Female,69.0,Married,No Qualification,English,White,"Under 2,600",Midlands & East Anglia,No,,,
Female,49.0,Divorced,Degree,British,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Male,63.0,Married,No Qualification,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Male,61.0,Married,Other/Sub Degree,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,55.0,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,57.0,Married,Higher/Sub Degree,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Female,,Married,Degree,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,,Married,GCSE/O Level,English,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Female,76.0,Widowed,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,Yes,10.0,6.0,Packets
Male,29.0,Single,Higher/Sub Degree,British,White,"20,800 to 28,600",Midlands & East Anglia,Yes,20.0,20.0,Packets
Female,50.0,Married,GCSE/O Level,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Male,40.0,Married,GCSE/O Level,English,White,Refused,Midlands & East Anglia,No,,,
Female,34.0,Married,Higher/Sub Degree,British,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,77.0,Widowed,No Qualification,Irish,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,47.0,Married,Degree,British,White,"Above 36,400",Midlands & East Anglia,No,,,
Female,68.0,Married,No Qualification,British,White,"Under 2,600",Midlands & East Anglia,No,,,
Male,31.0,Married,Higher/Sub Degree,English,White,"Above 36,400",Midlands & East Anglia,No,,,
Male,41.0,Married,Degree,British,Asian,"20,800 to 28,600",Midlands & East Anglia,No,,,
Female,55.0,Married,Higher/Sub Degree,British,White,"5,200 to 10,400",Midlands & East Anglia,Yes,25.0,15.0,Packets
Male,66.0,Married,A Levels,British,Asian,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,80.0,Married,No Qualification,British,White,"Under 2,600",Midlands & East Anglia,No,,,
Female,45.0,Married,Degree,British,Asian,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,63.0,Married,Degree,English,White,"Above 36,400",Midlands & East Anglia,No,,,
Male,62.0,Married,Degree,Scottish,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Female,49.0,Married,No Qualification,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,33.0,Married,ONC/BTEC,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Female,16.0,Single,GCSE/O Level,English,White,Refused,Midlands & East Anglia,No,,,
Male,58.0,Married,Degree,British,White,"Above 36,400",Midlands & East Anglia,No,,,
Female,33.0,Separated,ONC/BTEC,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Male,65.0,Married,Degree,British,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
Female,39.0,Single,Degree,Irish,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Female,57.0,Married,Higher/Sub Degree,British,White,,Midlands & East Anglia,Yes,6.0,4.0,Packets
Female,31.0,Married,A Levels,British,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,79.0,Married,No Qualification,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Female,16.0,Single,GCSE/CSE,British,White,"Under 2,600",Midlands & East Anglia,Yes,2.0,2.0,Packets
Female,54.0,Married,No Qualification,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Female,37.0,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",Midlands & East Anglia,Yes,12.0,12.0,Packets
Female,87.0,Widowed,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Male,32.0,Single,Degree,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,72.0,Married,No Qualification,British,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Male,20.0,Married,GCSE/O Level,English,Mixed,"10,400 to 15,600",Midlands & East Anglia,Yes,30.0,15.0,Hand-Rolled
Male,77.0,Married,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,63.0,Married,No Qualification,English,White,,Midlands & East Anglia,No,,,
Male,56.0,Married,No Qualification,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,34.0,Single,GCSE/O Level,British,White,"15,600 to 20,800",Midlands & East Anglia,Yes,10.0,5.0,Hand-Rolled
Female,,Married,A Levels,English,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Female,42.0,Single,GCSE/O Level,British,White,"15,600 to 20,800",Midlands & East Anglia,Yes,10.0,3.0,Hand-Rolled
Male,71.0,Married,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,48.0,Married,GCSE/O Level,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Male,38.0,Separated,ONC/BTEC,British,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
Female,55.0,Divorced,A Levels,English,White,"Under 2,600",Midlands & East Anglia,No,,,
Male,50.0,Married,GCSE/CSE,English,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Male,30.0,Single,ONC/BTEC,English,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Female,72.0,Married,No Qualification,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,59.0,Married,Other/Sub Degree,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Female,68.0,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Male,48.0,Married,No Qualification,British,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Male,42.0,Widowed,GCSE/O Level,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Female,72.0,Divorced,Other/Sub Degree,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,54.0,Married,Other/Sub Degree,English,White,Refused,Midlands & East Anglia,No,,,
Female,53.0,Divorced,GCSE/O Level,English,White,Unknown,Midlands & East Anglia,Yes,7.0,12.0,Packets
Female,86.0,Married,No Qualification,English,White,"Under 2,600",Midlands & East Anglia,No,,,
Female,57.0,Divorced,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,Yes,20.0,15.0,Both/Mainly Packets
Female,30.0,Single,Degree,British,Chinese,"15,600 to 20,800",Midlands & East Anglia,No,,,
Male,35.0,Single,No Qualification,Other,White,Refused,Midlands & East Anglia,Yes,20.0,20.0,Hand-Rolled
Female,25.0,Separated,GCSE/O Level,English,White,"10,400 to 15,600",Midlands & East Anglia,Yes,20.0,20.0,Packets
Male,67.0,Married,Other/Sub Degree,British,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,33.0,Divorced,GCSE/O Level,English,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
Female,51.0,Married,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,Yes,15.0,3.0,Packets
Female,54.0,Married,No Qualification,English,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Male,86.0,Married,No Qualification,English,White,Unknown,Midlands & East Anglia,No,,,
Female,69.0,Married,No Qualification,British,White,"Under 2,600",Midlands & East Anglia,No,,,
Female,23.0,Married,Higher/Sub Degree,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,33.0,Single,Degree,English,White,"15,600 to 20,800",Midlands & East Anglia,Yes,18.0,12.0,Packets
Male,79.0,Married,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Male,21.0,Single,A Levels,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,37.0,Divorced,GCSE/O Level,British,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Male,,Married,GCSE/O Level,English,White,"5,200 to 10,400",Midlands & East Anglia,Yes,20.0,20.0,Both/Mainly Packets
Male,79.0,Single,No Qualification,English,White,Refused,Midlands & East Anglia,No,,,
Female,34.0,Divorced,Higher/Sub Degree,English,White,"5,200 to 10,400",Midlands & East Anglia,Yes,10.0,10.0,Hand-Rolled
Male,28.0,Single,GCSE/O Level,English,White,"10,400 to 15,600",Midlands & East Anglia,Yes,10.0,10.0,Hand-Rolled
Female,44.0,Married,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,Yes,15.0,10.0,Packets
Female,64.0,Married,GCSE/O Level,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,51.0,Separated,No Qualification,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,21.0,Single,ONC/BTEC,English,White,"10,400 to 15,600",Midlands & East Anglia,Yes,20.0,10.0,Packets
Male,40.0,Single,GCSE/O Level,English,White,"2,600 to 5,200",Midlands & East Anglia,Yes,1.0,2.0,Hand-Rolled
Female,42.0,Single,GCSE/O Level,British,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,47.0,Divorced,No Qualification,British,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Male,73.0,Widowed,Other/Sub Degree,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,18.0,Single,Higher/Sub Degree,British,White,"2,600 to 5,200",Midlands & East Anglia,Yes,15.0,15.0,Packets
Male,,Single,GCSE/O Level,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Female,69.0,Widowed,GCSE/O Level,British,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,61.0,Married,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,83.0,Single,No Qualification,Refused,Refused,Refused,Midlands & East Anglia,No,,,
Female,80.0,Widowed,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,,Married,No Qualification,English,White,"Under 2,600",Midlands & East Anglia,No,,,
Female,26.0,Single,GCSE/O Level,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,34.0,Separated,GCSE/O Level,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,34.0,Married,Degree,British,White,,Midlands & East Anglia,No,,,
Female,39.0,Single,GCSE/O Level,English,White,"15,600 to 20,800",Midlands & East Anglia,Yes,10.0,7.0,Hand-Rolled
Male,33.0,Married,Other/Sub Degree,English,White,"5,200 to 10,400",Midlands & East Anglia,Yes,40.0,20.0,Packets
Male,36.0,Married,GCSE/O Level,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Female,39.0,Divorced,No Qualification,British,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,35.0,Married,GCSE/O Level,English,White,"15,600 to 20,800",Midlands & East Anglia,Yes,10.0,7.0,Hand-Rolled
Female,,Widowed,No Qualification,British,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,23.0,Married,Degree,British,Asian,"5,200 to 10,400",Midlands & East Anglia,Yes,10.0,10.0,Packets
Female,32.0,Divorced,GCSE/O Level,English,Asian,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,32.0,Married,No Qualification,Other,Asian,"5,200 to 10,400",Midlands & East Anglia,Yes,10.0,6.0,Packets
Male,35.0,Married,GCSE/O Level,British,Asian,"2,600 to 5,200",Midlands & East Anglia,Yes,5.0,5.0,Packets
Female,18.0,Single,A Levels,British,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Male,44.0,Divorced,Degree,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Female,75.0,Married,GCSE/CSE,Other,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,65.0,Married,GCSE/O Level,English,White,"Under 2,600",Midlands & East Anglia,No,,,
Female,54.0,Married,ONC/BTEC,British,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Male,32.0,Married,GCSE/O Level,English,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
Female,57.0,Married,Higher/Sub Degree,British,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,50.0,Married,Other/Sub Degree,British,White,"10,400 to 15,600",Midlands & East Anglia,Yes,20.0,15.0,Packets
Female,58.0,Married,Other/Sub Degree,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,30.0,Married,Degree,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,57.0,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Female,60.0,Married,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,Yes,15.0,15.0,Hand-Rolled
Female,78.0,Separated,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,44.0,Married,No Qualification,English,White,"10,400 to 15,600",Midlands & East Anglia,Yes,20.0,20.0,Packets
Male,32.0,Single,ONC/BTEC,British,White,"Above 36,400",Midlands & East Anglia,Yes,20.0,10.0,Packets
Female,56.0,Separated,Higher/Sub Degree,English,White,"28,600 to 36,400",Midlands & East Anglia,No,,,
Male,51.0,Married,Other/Sub Degree,Scottish,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Male,71.0,Married,Other/Sub Degree,British,Black,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,,Widowed,Other/Sub Degree,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,56.0,Single,Degree,English,White,"15,600 to 20,800",Midlands & East Anglia,Yes,35.0,25.0,Packets
Female,,Widowed,No Qualification,English,White,"Under 2,600",Midlands & East Anglia,No,,,
Female,51.0,Married,ONC/BTEC,English,White,"15,600 to 20,800",Midlands & East Anglia,No,,,
Female,53.0,Widowed,GCSE/O Level,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,80.0,Married,No Qualification,English,White,"20,800 to 28,600",Midlands & East Anglia,No,,,
Male,42.0,Married,Degree,British,White,"20,800 to 28,600",Midlands & East Anglia,Yes,0.0,2.0,Packets
Female,82.0,Widowed,Other/Sub Degree,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,58.0,Married,A Levels,British,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,78.0,Married,Degree,English,White,,Midlands & East Anglia,No,,,
Male,61.0,Married,No Qualification,English,White,"20,800 to 28,600",Midlands & East Anglia,Yes,20.0,20.0,Packets
Female,49.0,Single,No Qualification,British,White,"10,400 to 15,600",Midlands & East Anglia,Yes,20.0,15.0,Packets
Female,51.0,Divorced,GCSE/CSE,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,48.0,Married,Other/Sub Degree,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Female,37.0,Married,GCSE/O Level,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Male,51.0,Married,GCSE/CSE,British,Asian,"10,400 to 15,600",Midlands & East Anglia,Yes,5.0,5.0,Packets
Male,55.0,Married,GCSE/O Level,English,White,"10,400 to 15,600",Midlands & East Anglia,No,,,
Female,48.0,Married,No Qualification,English,White,,Midlands & East Anglia,No,,,
Female,82.0,Widowed,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,56.0,Married,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,71.0,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Male,30.0,Single,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,73.0,Widowed,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,35.0,Married,GCSE/O Level,English,White,"Under 2,600",Midlands & East Anglia,Yes,10.0,8.0,Packets
Male,79.0,Married,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Male,75.0,Widowed,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,Yes,2.0,1.0,Packets
Female,49.0,Married,ONC/BTEC,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,74.0,Married,No Qualification,English,White,"Under 2,600",Midlands & East Anglia,No,,,
Male,33.0,Married,No Qualification,English,White,"5,200 to 10,400",Midlands & East Anglia,No,,,
Female,81.0,Widowed,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
Female,63.0,Married,No Qualification,English,White,,Midlands & East Anglia,No,,,
Female,78.0,Widowed,No Qualification,English,White,"2,600 to 5,200",Midlands & East Anglia,No,,,
